company_name,company_industry,platform,ats_url,career_url,url_verified
Acceleration Partners,Advertising Services,greenhouse,https://boards.greenhouse.io/accelerationpartners,https://www.accelerationpartners.com/company/careers/,True
Better,Financial Services,greenhouse,,https://better.com/careers,True
Lincoln International,Investment Banking,greenhouse,,,False
Revel,Urban Transit Services,greenhouse,https://boards.greenhouse.io/revel,https://gorevel.com/careers,True
Misfits Market,Food and Beverage Services,greenhouse,https://boards.greenhouse.io/misfitsmarket,https://www.misfitsmarket.com/careers,True
NexHealth,Software Development,greenhouse,https://boards.greenhouse.io/nexhealth,https://www.nexhealth.com/careers,True
Thunder,IT Services and IT Consulting,greenhouse,,,False
Flock Freight,"Transportation, Logistics, Supply Chain and Storage",greenhouse,https://boards.greenhouse.io/flockfreight,https://www.flockfreight.com/careers/,True
Alto Pharmacy,Hospitals and Health Care,greenhouse,,https://alto.com/careers,True
Honor,Hospitals and Health Care,greenhouse,https://boards.greenhouse.io/honor,https://www.joinhonor.com/careers,True
"IMA Financial Group, Inc.",Insurance,greenhouse,,,False
Udemy,E-Learning Providers,greenhouse,,,False
Pilot,Telecommunications,greenhouse,,https://www.pilotfiber.com/careers,True
2K Vegas,Computer Games,greenhouse,,,False
Fetch,"Technology, Information and Internet",greenhouse,,,False
Breeze Airways™,Airlines and Aviation,greenhouse,,,False
Mobile Anesthesiologists,Medical Practices,greenhouse,,,False
Degreed,Software Development,greenhouse,,,False
Redesign Health,Hospitals and Health Care,greenhouse,,https://www.redesignhealth.com/careers,True
Central California Alliance for Health,Hospitals and Health Care,greenhouse,,,False
CB Insights,"Technology, Information and Internet",greenhouse,,,False
Pine Gate Renewables,Renewable Energy Power Generation,greenhouse,,,False
2U,Education Administration Programs,greenhouse,https://boards.greenhouse.io/2u,https://2u.com/careers/,True
project44,Software Development,greenhouse,https://boards.greenhouse.io/project44,https://www.project44.com/company/careers,True
Bungie,Entertainment Providers,greenhouse,https://boards.greenhouse.io/bungie,https://careers.bungie.com/,True
Vox Media,Online Audio and Video Media,greenhouse,https://boards.greenhouse.io/voxmedia,https://www.voxmedia.com/careers,True
HomeLight,Real Estate,greenhouse,https://boards.greenhouse.io/homelight,https://www.homelight.com/careers,True
Entera,Real Estate,greenhouse,,https://entera.ai/careers,True
Dollar Shave Club,Manufacturing,greenhouse,https://boards.greenhouse.io/dollarshaveclub,https://www.dollarshaveclub.com/careers,True
Shearer's Foods,Food and Beverage Manufacturing,greenhouse,,https://www.shearers.com/careers/,True
Otterbein SeniorLife,Hospitals and Health Care,greenhouse,,,False
General Assembly,Animation and Post-production,greenhouse,https://boards.greenhouse.io/generalassembly,https://generalassemb.ly/careers,True
Thirty Madison,Hospitals and Health Care,greenhouse,,https://www.thirtyMadison.com/careers,True
Seamless.AI,Software Development,greenhouse,,https://www.seamless.ai/careers,True
Foundation,Housing and Community Development,greenhouse,,,False
Forward,Staffing and Recruiting,greenhouse,,,False
Modern Health,Mental Health Care,greenhouse,https://boards.greenhouse.io/modernhealth,https://www.modernhealth.com/careers,True
Overjet,Software Development,greenhouse,https://boards.greenhouse.io/overjet/,https://www.overjet.com/careers,True
Level,Human Resources Services,greenhouse,,,False
Ingenuity Prep,Primary and Secondary Education,greenhouse,https://boards.greenhouse.io/ingenuityprep,https://www.ingenuityprep.org/careers/,True
Nas Company,Software Development,greenhouse,,,False
NextRoll,Marketing Services,greenhouse,https://boards.greenhouse.io/nextroll,https://www.nextroll.com/careers,True
Unqork,Software Development,greenhouse,,https://www.unqork.com/careers,True
CareRev,"Technology, Information and Internet",greenhouse,,https://www.carerev.com/careers,True
AssemblyAI,Software Development,greenhouse,https://boards.greenhouse.io/assemblyai,https://www.assemblyai.com/careers,True
Lunchbox,IT Services and IT Consulting,greenhouse,,https://lunchbox.io/careers/,True
Point Digital Finance,Real Estate,greenhouse,https://boards.greenhouse.io/pointdigitalfinance,https://point.com/careers,True
Golden Hippo®,Advertising Services,greenhouse,https://boards.greenhouse.io/goldenhippo,https://www.goldenhippo.com/careers,True
Foundation Academies,Education,greenhouse,,https://www.foundationacademies.org/careers/,True
Astranis,Defense and Space Manufacturing,greenhouse,https://boards.greenhouse.io/astranis,https://www.astranis.com/careers,True
Techstars,Venture Capital and Private Equity Principals,greenhouse,,https://www.techstars.com/careers/,True
PMG,Advertising Services,greenhouse,https://boards.greenhouse.io/pmg,https://www.pmg.com/careers/,True
WONGDOODY,Design Services,greenhouse,,,False
Knock,Real Estate,greenhouse,,https://www.knock.com/careers/,True
M Booth,Public Relations and Communications Services,greenhouse,,,False
All Turtles,Hospitals and Health Care,greenhouse,,,False
CreativeX,Internet Publishing,greenhouse,https://boards.greenhouse.io/creativex,https://www.creativex.com/careers,True
Boosted Commerce,Retail,greenhouse,,,False
ROLLER,Software Development,greenhouse,https://boards.greenhouse.io/roller,https://www.roller.software/au/careers,True
Expa,"Technology, Information and Internet",greenhouse,,,False
