company_name,company_industry
Aurora Innovation,Computer Hardware Manufacturing
Shellpoint Mortgage Servicing,Financial Services
MiTek Inc.,Consumer Services
University of Maryland,Higher Education
Fox Valley Technical College,Education
Printful,Printing Services
Federal Reserve Bank of Atlanta,Financial Services
Morgan Lewis,Legal Services
Ministry Brands,Software Development
Montage Health,Hospitals and Health Care
Merrell,Retail
Muhlenberg College,Education
Lincoln Financial Group,Insurance Carriers
Southwest Airlines,Airlines and Aviation
Unum,Insurance
Talend,Software Development
Columbia Sportswear Company,Retail Apparel and Fashion
Boys Town,Individual and Family Services
Purple,Retail
Pierce Manufacturing,Motor Vehicle Manufacturing
Everest,Insurance
10x Genomics,Biotechnology Research
The Trade Desk,"Technology, Information and Internet"
Alto Pharmacy,Hospitals and Health Care
"Wheels, Inc.",Financial Services
Cambia Health Solutions,Wellness and Fitness Services
Yulista Management Services,Defense and Space Manufacturing
Priceline.com,"Technology, Information and Internet"
Conde Nast,Broadcast Media Production and Distribution
"Horizon Media, Inc.",Broadcast Media Production and Distribution
Gables Residential,Real Estate
Jackson Lewis,Legal Services
ORBIS Corporation,Packaging and Containers Manufacturing
Nordstrom Rack,Retail Apparel and Fashion
"nCino, Inc.",Software Development
UKG,Software Development
Infoorigin Inc,IT Services and IT Consulting
Kraken Digital Asset Exchange,Financial Services
Checkr,IT Services and IT Consulting
Collectors,Consumer Services
Teledyne Technologies Incorporated,Software Development
Southern New Hampshire University,Higher Education
PacificSource Health Plans,Insurance
Athens Services,Environmental Services
Lemonade Insurance Company,Insurance
Wisemen Multimedia,IT Services and IT Consulting
Jitterbit,Software Development
SiFive,Semiconductor Manufacturing
Nextracker Inc.,Renewable Energy Power Generation
Great Basin College,Higher Education
Healthcare IT Leaders,IT Services and IT Consulting
Pomona College,Education
Humana,Insurance
Children's Hospital of Philadelphia,Hospitals and Health Care
Fastly,Software Development
Instructure,E-Learning Providers
Rubrik Job Board,Staffing and Recruiting
Guardian Pharmacy,Hospitals and Health Care
Driven Brands,Vehicle Repair and Maintenance
Breeze Airways (TM),Airlines and Aviation
KBI Biopharma,Biotechnology Research
Unity,Software Development
FLEETCOR,Financial Services
Teasdale Latin Foods,Food and Beverage Services
Nextdoor,"Technology, Information and Internet"
Allied Solutions,Financial Services
National University,Higher Education
Bioventus,Medical Equipment Manufacturing
"Vishay Intertechnology, Inc.","Appliances, Electrical, and Electronics Manufacturing"
National Multiple Sclerosis Society,Civic and Social Organizations
Room to Read,Non-profit Organizations
Savista,Hospitals and Health Care
Novanta Inc.,"Appliances, Electrical, and Electronics Manufacturing"
DraftKings Inc.,Mobile Gaming Apps
Vertex Inc.,Software Development
Child Care Resource Center,Public Policy Offices
Ultra Intelligence & Communications,Defense and Space Manufacturing
"City of North Port, FL",Government Administration
Lenovo,IT Services and IT Consulting
Lime,Software Development
Steneral Consulting,IT Services and IT Consulting
Chime,Financial Services
BetterUp,Professional Training and Coaching
"Kyndryl, Inc.",IT Services and IT Consulting
College of Lake County,Higher Education
SOLV Energy,Services for Renewable Energy
Ginkgo Bioworks,Pharmaceutical Manufacturing
First United Bank,Financial Services
Salad and Go,Restaurants
Vermeer,Software Development
Chegg,IT Services and IT Consulting
Best Friends Animal Society,Non-profit Organizations
Electric Power Research Institute,Oil and Gas
Direct Supply,Hospitals and Health Care
Wealth Enhancement Group,Financial Services
AssetMark,Financial Services
Shelter Insurance,Insurance Agencies and Brokerages
Golub Capital,Financial Services
SwimWest Swim School,Wellness and Fitness Services
Corewell Health,Hospitals and Health Care
Ripple,"Technology, Information and Internet"
Twitch,Software Development
Clayton Homes,Construction
Fluence Energy,Oil and Gas
ACORD Solutions Group,Insurance
Duolingo,Software Development
Moss,IT Services and IT Consulting
Union Tank Car Company (UTLX),Railroad Equipment Manufacturing
Mariani Premier Group,Landscaping Services
MFS Investment Management,Investment Management
Bed Bath & Beyond,Retail
"Zep, Inc.",Retail
Les Schwab Tire Centers,Retail
Ascend Performance Materials,Chemical Manufacturing
World Kinect,Oil and Gas
L.E.K. Consulting,Business Consulting and Services
Furman University,Higher Education
BeyondID,IT Services and IT Consulting
HashiCorp,Software Development
Crunchyroll,Entertainment Providers
Specialized,Manufacturing
DAVITA,Hospitals and Health Care
Bain Capital,Financial Services
Harris Williams & Co.,Investment Banking
Invisors,IT Services and IT Consulting
PTC,Software Development
"Pyramid Consulting, Inc",IT Services and IT Consulting
Motion,Automation Machinery Manufacturing
BILL,Software Development
TripActions,IT Services and IT Consulting
Bungie,Entertainment Providers
Opendoor,Real Estate
Hyatt Vacation Ownership,Hospitality
The Washington Post,Newspaper Publishing
TruTeam,Construction
Tidelands Health,Hospitals and Health Care
Anoka-Ramsey Community College,Education
Nu Skin,Retail Health and Personal Care Products
Neighborly®,Consumer Services
OneSpan,Software Development
AMLI Residential,Real Estate
Carthage College,Higher Education
"Lumio, Inc.",Oil and Gas
Mercy,Hospitals and Health Care
Guidewire Software,Software Development
Recorded Future,Computer and Network Security
Brooks Running,Retail
IDEXX,Biotechnology Research
Avant,Financial Services
Tealium,Software Development
The Beck Group,Construction
Marathon County Government,Government Administration
Calyx,Software Development
FARO Technologies,Industrial Machinery Manufacturing
Calista Brice LLC,Construction
"Haynes and Boone, LLP",Law Practice
Oliver Wyman,Business Consulting and Services
Ampush,Public Relations and Communications Services
Ensign College,Higher Education
Relation Insurance Services,Insurance
State of Minnesota,Government Administration
Mastech Digital,IT Services and IT Consulting
Takeda Pharmaceuticals,Pharmaceutical Manufacturing
Rockstar Games,Computer Games
OpenTable,"Technology, Information and Internet"
Sonoco,Packaging and Containers Manufacturing
Austal USA,Shipbuilding
United Health Services,Hospitals and Health Care
Ameren,Utilities
Bandwidth,IT Services and IT Consulting
EXOS,Consumer Services
Framebridge,Retail
KACE,Food and Beverage Manufacturing
"ACRT Services, Inc.",Oil and Gas
Ferrovial Construction,Construction
CareNu,Hospitals and Health Care
Southeastern Freight Lines,Truck Transportation
Los Angeles Times,Newspaper Publishing
Exeter Finance,Financial Services
Academy of Art University,Higher Education
Carleton College,Higher Education
"Anderson University, South Carolina",Higher Education
Randstad USA,Staffing and Recruiting
Get It - Professional Services,Professional Services
Intelliswift Software,IT Services and IT Consulting
Carta,Software Development
ROBLOX,IT Services and IT Consulting
CarGurus,"Technology, Information and Internet"
Thumbtack,Software Development
Techtronic Industries Co. Ltd,Manufacturing
Baird,Financial Services
Valet Living,Real Estate
"Guest Services, Inc.",Hospitality
WEX,Software Development
Lake Michigan Credit Union,Financial Services
AMC Networks,Entertainment Providers
TEEX,Education
Byram Healthcare,Hospitals and Health Care
City Year,Non-profit Organizations
Ocean Infinity,Robotics Engineering
City of Worcester,Government Administration
Harvard Business Publishing,Software Development
Northeastern Illinois University,Higher Education
Harvey Mudd College,Education
Kognitiv,IT Services and IT Consulting
Google,Software Development
U-Haul,Retail
Envista Holdings,Hospitals and Health Care
MercyOne,Hospitals and Health Care
Toast,Software Development
Brex,Financial Services
Sony Pictures Entertainment,Entertainment Providers
Spectrum Brands,Manufacturing
Seargin,IT Services and IT Consulting
Axcelis Technologies,Semiconductor Manufacturing
Thrasio,Retail
Axalta,Chemical Manufacturing
The Farmer's Dog,Manufacturing
City of Tucson,Government Administration
Early Warning®,Financial Services
Onto Innovation,Semiconductor Manufacturing
MediaNews Group,Book and Periodical Publishing
"City of Largo, FL",Government Administration
Novavax,Pharmaceutical Manufacturing
BeautyHealth,Wellness and Fitness Services
BitSight,IT Services and IT Consulting
Ares Management Corporation,Financial Services
Truckee Meadows Community College,Higher Education
Marigold,Software Development
Rumpke Waste & Recycling,Environmental Services
Skookum Contract Services,Non-profit Organizations
"OPIS, A Dow Jones Company",Oil and Gas
City of Austin,Government Administration
Xcel Energy,Utilities
GE Healthcare,Hospitals and Health Care
DuPont,Manufacturing
HHS,Defense and Space Manufacturing
Generac,Electric Power Generation
My3Tech,IT Services and IT Consulting
Argo AI,"Transportation, Logistics, Supply Chain and Storage"
Viavi Solutions,Telecommunications
Arrive Logistics,"Transportation, Logistics, Supply Chain and Storage"
World Market,Retail
Legacy Traditional Schools,Education Administration Programs
Grand Rounds,Hospitals and Health Care
Columbus State Community College,Higher Education
NBT Bank,Banking
JPI,Business Consulting and Services
USIC,Utilities
Reliance Matrix,Insurance
CommuniCare Corporate,Hospitals and Health Care
Makse Group,IT Services and IT Consulting
ChenMed,Medical Practices
TalentAlly,"Technology, Information and Media"
National General Insurance,Insurance Carriers
iHerb,Retail Pharmacies
KeepTruckin,IT Services and IT Consulting
Reach,Wireless Services
AXIOM,IT Services and IT Consulting
Origin Bank,Banking
News Corp,"Technology, Information and Media"
MiraCosta College,Education
HomeStreet Bank,Financial Services
Old Republic International,Insurance
Texas A&M University Kingsville,Education
Spellman High Voltage Electronics,"Appliances, Electrical, and Electronics Manufacturing"
Cooley LLP,Law Practice
Talen Energy,Electric Power Generation
Walker & Dunlop,Financial Services
Hamilton Lane,Financial Services
Zwift,"Technology, Information and Internet"
SouthEast Alaska Regional Health Consortium,Hospitals and Health Care
Tishman Speyer,Real Estate
Planet Professional,Staffing and Recruiting
MTM,Ground Passenger Transportation
Federal Reserve Bank of Minneapolis,Banking
Sonora Quest Laboratories,Hospitals and Health Care
International Mission Board,Religious Institutions
Public Utility Commission of Texas,Government Administration
EPAM Systems,IT Services and IT Consulting
Banfield Pet Hospital,Veterinary Services
DigitalOcean,Software Development
The Children's Place,Retail
AppDirect,IT Services and IT Consulting
Meltwater,Software Development
Verily,Hospitals and Health Care
Blue Cross and Blue Shield of Minnesota,Insurance
Saddle Creek Logistics Services,Truck Transportation
Acuity International,Professional Services
CHOC Children's,Hospitals and Health Care
Colonial Pipeline Company,Oil and Gas
Freese and Nichols,Civil Engineering
Indivior,Pharmaceutical Manufacturing
Vantage Specialty Chemicals,Chemical Manufacturing
Interface Systems,IT Services and IT Consulting
Las Vegas Sands Corp.,Hospitality
Everside Health,Hospitals and Health Care
Wright Canada Holdings,Forestry and Logging
Shrub Oak International School,Education Administration Programs
Amber Specialty Pharmacy,Pharmaceutical Manufacturing
Spencer Stuart,Business Consulting and Services
"Ensign-Bickford Industries, Inc.",Industrial Machinery Manufacturing
SwimKids Swim School,Recreational Facilities
Rackspace,IT Services and IT Consulting
SentinelOne,Computer and Network Security
Liberty University,Higher Education
Mozilla,Software Development
"Endeavor Operating Company, LLC",Entertainment Providers
Farmers Business Network,Farming
Leslie's Poolmart,Retail
Enova International,Financial Services
Danaher,Pharmaceutical Manufacturing
Bayforce,IT Services and IT Consulting
Curology,Wellness and Fitness Services
Link Logistics Real Estate,Real Estate
ROKT,IT Services and IT Consulting
PF Holdings,Oil and Gas
Shepherd Center,Hospitals and Health Care
BD Singapore,Medical Equipment Manufacturing
Federal Reserve Bank of Philadelphia,Financial Services
Proctor Loan Protector,Insurance
Texas A&M Texarkana,Higher Education
Gogo Business Aviation,Telecommunications
Florida Polytechnic University,Higher Education
Western Colorado University,Education
Masonite®,Wholesale Building Materials
Woodruff Arts Center,Performing Arts
Haverford College,Higher Education
Adams State University,Higher Education
Mercury Marine,Manufacturing
TikTok,Entertainment Providers
Discover Financial Services,Financial Services
Medallia,Software Development
Draper,Defense and Space Manufacturing
Rent the Runway,Retail
Toyota North America,Motor Vehicle Manufacturing
First Quality,Manufacturing
Cboe Global Markets,Financial Services
PGIM,Financial Services
Bowie State University,Higher Education
Accuray,Medical Equipment Manufacturing
Full Sail University,Higher Education
ABC Fine Wine & Spirits,Beverage Manufacturing
Kiss Products,Manufacturing
ZOLL Medical Corporation,Medical Equipment Manufacturing
AssetWorks,Civic and Social Organizations
Talking Rain Beverage Company,Restaurants
Silgan Containers,Packaging and Containers Manufacturing
GBH,Broadcast Media Production and Distribution
Scottish Rite for Children,Hospitals and Health Care
Circuit Board Medics,"Appliances, Electrical, and Electronics Manufacturing"
Year Up,Non-profit Organizations
Dollar Tree,Retail
Topgolf,Entertainment Providers
Zynga,Computer Games
Home Health Focus AI,"Technology, Information and Internet"
Activision,Entertainment Providers
ACL Digital,IT Services and IT Consulting
Life Time Inc.,Wellness and Fitness Services
Webflow,Software Development
Beth Israel Deaconess Medical Center,Hospitals and Health Care
HackerOne,Computer and Network Security
Fresh Express,Food and Beverage Manufacturing
G-P,Software Development
Brightree,Software Development
Mint House,Hospitality
Rimini Street,IT Services and IT Consulting
University of Minnesota Physicians,Hospitals and Health Care
TruStage,Financial Services
"ACRT, Inc.",Oil and Gas
"Alexion Pharmaceuticals, Inc.",Biotechnology Research
Roswell Park Comprehensive Cancer Center,Hospitals and Health Care
Southern Tide,Retail Apparel and Fashion
Witt O'Brien's,Business Consulting and Services
Barnard College,Higher Education
TigerConnect,Hospitals and Health Care
"Sumitomo Pharma America, Inc.",Pharmaceutical Manufacturing
Guardian Dentistry Partners,Hospitals and Health Care
Kohler Co.,Manufacturing
"KBR, Inc.",IT Services and IT Consulting
Align Technology,Medical Equipment Manufacturing
Cumulus Media,Broadcast Media Production and Distribution
Disney Media & Entertainment Distribution,"Technology, Information and Media"
Fluence,Renewable Energy Semiconductor Manufacturing
MicroAire Surgical Instruments,Medical Equipment Manufacturing
Peet's Coffee & Tea,Restaurants
DATAIKU,IT Services and IT Consulting
GBMC HealthCare,Hospitals and Health Care
Oliver Wyman Group,Professional Services
Oshkosh Defense,Defense and Space Manufacturing
Hudson's Bay Company,Retail
Freeman Health System,Hospitals and Health Care
Sallie Mae,Financial Services
Living Spaces Furniture,Retail
Deluxe,Financial Services
Perkins Coie,Law Practice
Epredia,Biotechnology Research
HSN,Retail
Sharecare,Wellness and Fitness Services
Simons Foundation,Non-profit Organizations
King's Hawaiian,Food and Beverage Manufacturing
Main Event,Entertainment Providers
Alira Health,Pharmaceutical Manufacturing
Mount St. Mary's University,Higher Education
Wycliffe Bible Translators,Non-profit Organizations
MATC,Education
Priority Health,Insurance
Republic Services,Environmental Services
USAA,Financial Services
Sprouts Farmers Market,Retail
City of Seattle,Government Administration
Viasat,Telecommunications
MassMutual,Financial Services
Asurion,IT Services and IT Consulting
HD Supply,Wholesale
AlphaSense,Software Development
Alarm.com,IT Services and IT Consulting
Commerce Bank,Banking
Blink Health,Hospitals and Health Care
Integral Ad Science,Software Development
Georgia Institute of Technology,Higher Education
EFI Global,Civil Engineering
Alamo Drafthouse Cinema,Entertainment Providers
Federal Reserve Bank of Dallas,Banking
The Walt Disney Company (Corporate),Broadcast Media Production and Distribution
Nebraska Department of Transportation,Government Administration
The Amenity Collective,Hospitality
"Huntington Hospital, NY",Hospitals and Health Care
CHRISTUS Health,Hospitals and Health Care
Business Integra Inc,IT Services and IT Consulting
Devcare Solutions,Nursing Homes and Residential Care Facilities
Bright Horizons Family Solutions,Child Day Care Services
Beckman Coulter Diagnostics,Medical Equipment Manufacturing
Medical University of South Carolina,Hospitals and Health Care
Travel + Leisure Co.,Hospitality
Roblox,Software Development
Figma,Design Services
State of Iowa,Government Administration
The MITRE Corporation,Government Administration
Kastech Software Solutions Group,IT Services and IT Consulting
University of Wisconsin-Milwaukee,Higher Education
CLA (CliftonLarsonAllen),Accounting
Stormont Vail Health,Hospitals and Health Care
Auto-Owners Insurance,Insurance
Breeze Airways,Airlines and Aviation
Priority1,"Transportation, Logistics, Supply Chain and Storage"
GHX,Hospitals and Health Care
SC Johnson Professional,Manufacturing
State Street Global Advisors,Financial Services
Portland Community College,Higher Education
Akumin,Hospitals and Health Care
Pattern®,Retail
Alcority,IT Services and IT Consulting
PJT Partners,Investment Banking
Open Society Foundations,Non-profit Organizations
University of Arkansas at Little Rock,Higher Education
